Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
725-shan-malay-chicken-biriyani-masala-50g,Shan Malay Chicken Biriyani Masala 50g,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,4.75,3.80,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Shan_Malay_Chicken_Biryani_Mix_grande.jpg
724-eastern-chicken-masala-160g,Eastern Chicken Masala 160g,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,6.25,4.99,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/eastern-chicken-masala-160g-1-1.jpg
724-eastern-chicken-masala-160g,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/eastern-chicken-masala-165-gm-2.jpg
726-tamarind-paste-ship-brand-300g,Tamarind Paste Ship Brand 300g,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,2.40,1.90,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/tamarind-ship-brand-1-1.jpg
727-eastern-kashmiri-chilli-powder-400g,Eastern Kashmiri Chilli Powder 400g,Brand : Eastern,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,14.25,11.40,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/easternkashmirichilly400g.jpg
729-dry-lemon-white-500g,Dry Lemon White 500g,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,12.00,9.45,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/dry-lemon-white.jpg
728-foster-clarks-vanilla-essence-28ml-x-12-pieces,Foster Clark’s Vanilla Essence 28ml x 12 Pieces,Brand : Foster Clarks,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,38.00,30.40,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/fc-vanila-colour-1.jpg
730-saffron-badiee-10g,Saffron Badiee 10g,Product of Iran,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,77.25,61.75,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/safron-badee.jpg
730-saffron-badiee-10g,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/badiee-saffron-1.jpg
730-saffron-badiee-10g,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/badiee-saffron-2.jpg
